Unnamed: 0,Year,Lat,Long,Number.of.Samples,State.Province
1,2019.0,50.0,-85.0,26,Ontario
4,2019.0,50.0,-85.0,6,Ontario
5,2019.0,50.0,-85.0,21,Ontario
6,2019.0,50.0,-85.0,27,Ontario
8,2019.0,50.0,-85.0,1,Ontario
12,2019.0,50.0,-85.0,4,Ontario
13,2019.0,50.0,-85.0,1,Ontario
14,2019.0,50.0,-85.0,4,Ontario
15,2019.0,50.0,-85.0,2,Ontario
16,2019.0,50.0,-85.0,1,Ontario
17,2019.0,50.0,-85.0,10,Ontario
18,2019.0,50.0,-85.0,10,Ontario
19,2019.0,50.0,-85.0,1,Ontario
23,2019.0,50.0,-85.0,6,Ontario
24,2019.0,50.0,-85.0,2,Ontario
26,2019.0,50.0,-85.0,3,Ontario
27,2019.0,50.0,-85.0,13,Ontario
29,2019.0,50.0,-85.0,14,Ontario
30,2019.0,50.0,-85.0,6,Ontario
31,2019.0,50.0,-85.0,62,Ontario
34,2019.0,50.0,-85.0,1,Ontario
39,2019.0,50.0,-85.0,51,Ontario
40,2019.0,50.0,-85.0,5,Ontario
41,2019.0,50.0,-85.0,48,Ontario
42,2019.0,50.0,-85.0,1,Ontario
43,2019.0,50.0,-85.0,5,Ontario
44,2019.0,50.0,-85.0,6,Ontario
45,2019.0,50.0,-85.0,4,Ontario
46,2019.0,50.0,-85.0,1,Ontario
47,2019.0,50.0,-85.0,2,Ontario
48,2019.0,50.0,-85.0,25,Ontario
52,2019.0,40.349457,-88.986137,8,Illinois
53,2019.0,40.349457,-88.986137,46,Illinois
58,2019.0,39.849426,-86.258278,6,Indiana
59,2019.0,39.849426,-86.258278,10,Indiana
60,2019.0,39.849426,-86.258278,8,Indiana
61,2019.0,39.849426,-86.258278,13,Indiana
62,2019.0,36.24096,-86.6439,63,Tennesse
65,2019.0,32.806671,-86.79113000000001,23,Alabama
66,2019.0,32.806671,-86.79113000000001,1,Alabama
67,2019.0,32.806671,-86.79113000000001,9,Alabama
68,2019.0,32.806671,-86.79113000000001,7,Alabama
70,2019.0,33.040619,-83.643074,57,Georgia
71,2019.0,33.040619,-83.643074,70,Georgia
78,2019.0,35.630066,-79.80641899999999,17,North.Carolina
80,2019.0,35.630066,-79.80641899999999,9,North.Carolina
84,2019.0,40.388783000000004,-82.764915,15,Ohio
85,2019.0,40.388783000000004,-82.764915,2,Ohio
86,2019.0,42.165726,-74.948051,9,New.York
87,2019.0,42.165726,-74.948051,38,New.York
88,2019.0,50.0,-85.0,28,Ontario
89,2019.0,50.0,-85.0,10,Ontario
90,2019.0,50.0,-85.0,128,Ontario
96,2019.0,50.0,-85.0,29,Ontario
97,2019.0,50.0,-85.0,53,Ontario
104,2019.0,50.0,-85.0,23,Ontario
105,2019.0,50.0,-85.0,31,Ontario
106,2019.0,50.0,-85.0,1,Ontario
108,2019.0,50.0,-85.0,10,Ontario
109,2019.0,50.0,-85.0,1,Ontario
1493,2019.0,44.268543,-89.616508,4,Wisconsin
1494,2019.0,44.268543,-89.616508,4,Wisconsin
1495,2019.0,44.268543,-89.616508,2,Wisconsin
1952,2019.0,42.165726,-74.948051,1,New.York
1953,2019.0,42.165726,-74.948051,1,New.York
1954,2019.0,42.165726,-74.948051,1,New.York
1955,2019.0,42.165726,-74.948051,1,New.York
1956,2019.0,42.165726,-74.948051,1,New.York
1957,2019.0,42.165726,-74.948051,1,New.York
1958,2019.0,42.165726,-74.948051,1,New.York
1959,2019.0,42.165726,-74.948051,1,New.York
1960,2019.0,42.165726,-74.948051,1,New.York
1968,2019.0,42.165726,-74.948051,1,New.York
1969,2019.0,44.268543,-89.616508,1,Wisconsin
1970,2019.0,42.165726,-74.948051,1,New.York
1971,2019.0,42.165726,-74.948051,1,New.York
1972,2019.0,43.326617999999996,-84.53609499999999,1,Michigan
111,2019.0,43.718222999999995,-79.357825,116,Ontario
21,2019.0,43.734444399999994,-79.3569444,55,Ontario
343,2019.0,43.7822222,-79.18611109999999,38,Ontario
468,2019.0,43.776070000000004,-79.46288,143,Ontario
511,2019.0,43.7452778,-79.4980556,42,Ontario
612,2019.0,43.7769444,-79.1558333,51,Ontario
7,2019.0,43.667044,-79.636833,33,Ontario
83,2019.0,43.658374,-79.58991400000001,29,Ontario
112,2019.0,43.742955,-79.484904,39,Ontario
